Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,date_parsed
3/11/2015,360.00,/,/,360.00,0.00,0,0,0,2015-03-11
3/12/2015,360.00,/,/,360.00,0.00,0,0,0,2015-03-12
3/13/2015,360.00,/,/,360.00,0.00,0,0,0,2015-03-13
3/16/2015,360.00,/,/,360.00,0.00,0,0,0,2015-03-16
3/17/2015,360.00,/,/,360.00,0.00,0,0,0,2015-03-17
3/18/2015,360.00,/,/,360.00,0.00,0,0,0,2015-03-18
3/19/2015,360.00,/,/,360.00,0.00,0,0,0,2015-03-19
3/20/2015,360.00,/,/,360.00,0.00,0,0,0,2015-03-20
3/23/2015,350.00,350.00,350.00,350.00,-2.78,"1,100","385,000","385,000",2015-03-23
3/24/2015,350.00,/,/,350.00,0.00,0,0,0,2015-03-24
3/25/2015,350.00,/,/,350.00,0.00,0,0,0,2015-03-25
3/26/2015,350.00,/,/,350.00,0.00,0,0,0,2015-03-26
3/27/2015,350.00,/,/,350.00,0.00,0,0,0,2015-03-27
3/30/2015,350.00,/,/,350.00,0.00,0,0,0,2015-03-30
3/31/2015,350.00,/,/,350.00,0.00,0,0,0,2015-03-31
4/1/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-01
4/2/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-02
4/3/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-03
4/6/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-06
4/7/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-07
4/8/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-08
4/9/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-09
4/14/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-14
4/15/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-15
4/16/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-16
4/17/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-17
4/20/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-20
4/21/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-21
4/22/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-22
4/23/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-23
4/24/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-24
4/27/2015,350.00,/,/,350.00,0.00,0,0,0,2015-04-27
